"species" "plot" "treatement" "atribute" "rust" "p_mildew" "d_mildew" "l_spot" "n_dmg_fung" "mean_perc_dmg_fung" "perc_leaves_dmg_fung" "perc_dmg_fung" "chewing" "sucking" "mining" "n_dmg" "mean_perc_dmg" "n_leaves" "perc_leaves_dmg" "perc_dmg" "comments"
"34" "Fr" 6 1 "species_1" 0 0 0 1 1 1 10 0.1 0 0 0 0 0 10 0 0 ""
"35" "To" 6 1 "species_2" 0 0 0 3 3 10 30 3 1 0 0 1 5 10 10 0.5 ""
"36" "Ra" 6 1 "species_3" 0 0 0 8 8 10 80 8 1 0 0 1 1 10 10 0.1 ""
"37" "Lp" 7 0 "species_1" 0 0 0 9 9 25 90 22.5 0 0 0 0 0 10 0 0 ""
"38" "Cb" 7 0 "species_2" 0 0 0 3 3 15 30 4.5 0 0 0 0 0 10 0 0 ""
"39" "Sp" 7 0 "species_3" 0 0 0 1 1 5 10 0.5 0 0 0 0 0 10 0 0 ""
"40" "Lp" 7 1 "species_1" 0 0 0 3 3 1 30 0.3 0 0 0 0 0 10 0 0 ""
"41" "Cb" 7 1 "species_2" 2 2 0 1 4 10 40 4 0 0 2 2 5 10 20 1 ""
"42" "Sp" 7 1 "species_3" 0 0 0 0 0 0 0 0 1 0 0 1 5 10 10 0.5 ""
"43" "Pt" 8 0 "species_1" 0 0 0 1 1 5 10 0.5 0 2 0 2 5 10 20 1 ""
"44" "Dc" 8 0 "species_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"45" "Sp" 8 0 "species_3" 0 0 0 1 1 1 10 0.1 0 1 0 1 5 10 10 0.5 ""
"46" "Pt" 8 1 "species_1" 0 0 0 0 0 0 0 0 0 3 0 3 5 10 30 1.5 ""
"47" "Dc" 8 1 "species_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"48" "Sp" 8 1 "species_3" 0 0 0 2 2 1 20 0.2 0 0 0 0 0 10 0 0 ""
"49" "Fr" 9 0 "species_1" 0 0 0 1 1 5 10 0.5 0 0 0 0 0 10 0 0 ""
"50" "Pt" 9 0 "species_2" 0 0 0 0 0 0 NA NA 0 0 0 0 0 0 NA NA "no poa"
"51" "Pm" 9 0 "species_3" 0 0 0 3 3 10 30 3 3 0 0 3 10 10 30 3 ""
"52" "Fr" 9 1 "species_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"53" "Pt" 9 1 "species_2" 0 0 0 0 0 0 NA NA 0 0 0 0 0 0 NA NA "no poa"
"54" "Pm" 9 1 "species_3" 0 0 0 5 5 5 50 2.5 0 1 0 1 10 10 10 1 ""
"55" "Be" 10 0 "species_1" 0 0 0 0 0 0 0 0 0 4 0 4 5 10 40 2 ""
"56" "To" 10 0 "species_2" 0 0 0 5 5 10 50 5 5 0 0 5 20 10 50 10 ""
"57" "Dc" 10 0 "species_3" 0 0 0 2 2 1 20 0.2 1 0 0 1 5 10 10 0.5 ""
"58" "Be" 10 1 "species_1" 0 0 0 1 1 5 10 0.5 0 1 1 2 5 10 20 1 ""
"59" "To" 10 1 "species_2" 0 0 0 1 1 1 10 0.1 0 2 0 2 15 10 20 3 ""
"60" "Dc" 10 1 "species_3" 0 0 0 3 3 1 30 0.3 0 0 0 0 0 10 0 0 ""
"61" "Pt" 11 0 "species_1" 0 0 0 1 1 5 10 0.5 0 0 0 0 0 10 0 0 ""
"62" "Cb" 11 0 "species_2" 3 0 0 0 3 10 30 3 0 1 0 1 5 10 10 0.5 ""
"63" "Sp" 11 0 "species_3" 0 0 0 3 3 5 30 1.5 0 0 0 0 0 10 0 0 ""
"64" "Pt" 11 1 "species_1" 0 0 0 1 1 5 10 0.5 0 0 0 0 0 10 0 0 ""
"65" "Cb" 11 1 "species_2" 2 6 0 0 6 30 60 18 0 0 0 0 0 10 0 0 ""
"66" "Sp" 11 1 "species_3" 0 0 0 4 4 1 40 0.4 0 0 0 0 0 10 0 0 ""
"67" "Be" 12 0 "species_1" 0 0 0 3 3 1 30 0.3 0 0 3 3 5 10 30 1.5 ""
"68" "Fr" 12 0 "species_2" 0 0 0 0 0 0 0 0 0 0 1 1 1 10 10 0.1 ""
"69" "Dc" 12 0 "species_3" 0 0 0 4 4 5 40 2 0 0 0 1 1 10 10 0.1 ""
"70" "Be" 12 1 "species_1" 0 0 0 0 0 0 0 0 0 4 1 4 10 10 40 4 ""
"71" "Fr" 12 1 "species_2" 0 0 0 2 2 10 20 2 0 1 0 1 1 10 10 0.1 ""
"72" "Dc" 12 1 "species_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"73" "Be" 13 0 "species_1" 0 0 0 2 2 5 20 1 0 2 0 3 10 10 30 3 ""
"74" "Hl" 13 0 "species_2" 0 0 0 0 0 0 0 0 0 2 1 2 5 10 20 1 ""
"75" "To" 13 0 "species_3" 0 0 0 2 2 1 20 0.2 0 1 1 2 10 10 20 2 ""
"76" "Be" 13 1 "species_1" 0 0 0 0 0 0 0 0 1 3 0 3 1 10 30 0.3 ""
"77" "Hl" 13 1 "species_2" 0 0 0 1 1 1 10 0.1 0 2 3 4 10 10 40 4 ""
"78" "To" 13 1 "species_3" 0 0 0 2 2 1 20 0.2 1 0 0 1 1 10 10 0.1 ""
"79" "Sp" 14 0 "species_1" 0 0 0 2 2 1 20 0.2 0 1 0 1 1 10 10 0.1 ""
"80" "Ra" 14 0 "species_2" 0 0 0 5 5 1 50 0.5 0 0 1 0 1 10 0 0 ""
"81" "Pm" 14 0 "species_3" 0 0 0 6 6 5 60 3 0 0 0 0 0 10 0 0 ""
"82" "Sp" 14 1 "species_1" 1 0 0 2 2 1 20 0.2 0 0 0 0 0 10 0 0 ""
"83" "Ra" 14 1 "species_2" 0 0 0 5 5 5 50 2.5 0 0 0 0 0 10 0 0 ""
"84" "Pm" 14 1 "species_3" 0 0 0 4 4 5 40 2 1 0 0 1 1 10 10 0.1 ""
"85" "Be" 15 0 "species_1" 0 0 0 0 0 0 0 0 0 6 1 7 15 10 70 10.5 ""
"86" "Pg" 15 0 "species_2" 0 0 0 5 3 5 30 1.5 0 3 0 3 1 10 30 0.3 ""
"87" "Ra" 15 0 "species_3" 0 0 0 7 7 5 70 3.5 2 0 1 2 5 10 20 1 ""
"88" "Be" 15 1 "species_1" 0 0 0 0 0 0 0 0 0 1 0 1 10 10 10 1 ""
"89" "Pg" 15 1 "species_2" 0 0 0 5 5 1 50 0.5 1 3 0 4 5 10 40 2 ""
"90" "Ra" 15 1 "species_3" 0 0 0 0 0 0 0 0 5 0 0 0 5 10 0 0 ""
"91" "Be" 16 0 "species_1" 0 0 0 0 0 0 0 0 1 4 0 4 10 10 40 4 ""
"92" "Pt" 16 0 "species_2" 0 0 0 0 0 0 0 0 0 8 2 8 30 10 80 24 ""
"93" "Pm" 16 0 "species_3" 0 0 0 4 4 5 40 2 1 0 0 1 1 10 10 0.1 ""
"94" "Be" 16 1 "species_1" 0 0 0 4 4 5 40 2 0 0 0 0 0 10 0 0 ""
"95" "Pt" 16 1 "species_2" 0 0 0 0 0 0 0 0 0 0 5 3 5 10 30 1.5 "10"
"96" "Pm" 16 1 "species_3" 0 0 0 1 1 5 10 0.5 0 0 0 0 0 10 0 0 "10"
"97" "Be" 17 0 "species_1" 0 0 0 2 2 1 20 0.2 0 6 0 6 10 10 60 6 ""
"98" "Pt" 17 0 "species_2" 0 0 0 3 3 40 60 24 2 0 0 2 40 5 40 16 ""
"99" "To" 17 0 "species_3" 0 0 0 4 2 5 20 1 2 0 0 0 0 10 0 0 ""
"100" "Be" 17 1 "species_1" 0 1 0 0 1 15 10 1.5 0 2 0 2 10 10 20 2 ""
"101" "Pt" 17 1 "species_2" 0 1 0 0 1 10 10 1 0 2 2 4 10 10 40 4 ""
"102" "To" 17 1 "species_3" 0 0 0 5 5 1 50 0.5 3 1 0 4 10 10 40 4 ""
"103" "Be" 18 0 "species_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"104" "Cb" 18 0 "species_2" 4 0 1 0 4 7 40 2.8 5 0 0 0 0 10 0 0 ""
"105" "Ra" 18 0 "species_3" 0 0 0 3 3 10 30 3 2 0 0 2 5 10 20 1 ""
"106" "Be" 18 1 "species_1" 0 0 0 0 0 0 0 0 0 2 1 3 5 10 30 1.5 ""
"107" "Cb" 18 1 "species_2" 3 0 0 0 3 5 30 1.5 1 3 0 4 5 10 40 2 ""
"108" "Ra" 18 1 "species_3" 0 0 0 5 5 5 50 2.5 0 0 0 0 0 10 0 0 ""
"109" "Cb" 19 0 "species_1" 1 0 1 2 3 5 30 1.5 0 1 0 1 1 10 10 0.1 ""
"110" "To" 19 0 "species_2" 0 0 2 1 3 5 30 1.5 1 0 0 1 1 10 10 0.1 ""
"111" "Ra" 19 0 "species_3" 0 0 0 5 4 1 40 0.4 1 0 0 1 30 10 10 3 ""
"112" "Cb" 19 1 "species_1" 2 3 0 0 4 5 40 2 0 2 0 2 1 10 20 0.2 ""
"113" "To" 19 1 "species_2" 0 0 0 4 4 2 40 0.8 1 0 0 1 30 10 10 3 ""
"114" "Ra" 19 1 "species_3" 0 0 0 2 2 1 20 0.2 3 0 1 4 5 10 40 2 ""
"115" "Pt" 20 0 "species_1" 0 0 0 0 0 0 0 0 0 3 0 3 10 10 30 3 ""
"116" "Dc" 20 0 "species_2" 0 0 0 2 2 1 20 0.2 0 0 0 0 0 10 0 0 ""
"117" "Pg" 20 0 "species_3" 0 0 0 3 3 5 30 1.5 0 0 0 0 0 10 0 0 ""
"118" "Pt" 20 1 "species_1" 0 0 0 2 2 10 20 2 0 0 1 1 5 10 10 0.5 ""
"119" "Dc" 20 1 "species_2" 0 0 0 2 2 1 20 0.2 0 0 0 0 0 10 0 0 ""
"120" "Pg" 20 1 "species_3" 0 0 0 1 1 1 10 0.1 0 2 0 2 5 10 20 1 ""
"121" "Pt" 21 0 "species_1" 0 0 0 2 2 1 20 0.2 0 0 0 0 0 10 0 0 ""
"122" "Cb" 21 0 "species_2" 0 2 0 0 2 5 20 1 0 3 1 3 1 10 30 0.3 ""
"123" "Ra" 21 0 "species_3" 0 0 0 8 8 1 80 0.8 2 0 0 2 1 10 20 0.2 ""
"124" "Pt" 21 1 "species_1" 0 0 0 0 0 0 0 0 0 1 0 1 1 10 10 0.1 ""
"125" "Cb" 21 1 "species_2" 0 5 0 1 5 25 50 12.5 0 3 0 3 5 10 30 1.5 ""
"126" "Ra" 21 1 "species_3" 0 0 0 2 2 1 20 0.2 0 0 2 2 1 10 20 0.2 ""
"127" "Cb" 22 0 "species_1" 1 1 0 0 2 5 20 1 0 3 0 3 5 10 30 1.5 ""
"128" "To" 22 0 "species_2" 0 0 0 4 4 5 40 2 1 0 0 0 10 10 0 0 ""
"129" "Pm" 22 0 "species_3" 0 0 0 4 4 1 40 0.4 0 0 1 1 1 10 10 0.1 ""
"130" "Cb" 22 1 "species_1" 4 0 0 0 4 1 40 0.4 0 3 0 3 5 10 30 1.5 ""
"131" "To" 22 1 "species_2" 1 0 0 4 4 1 40 0.4 0 4 0 4 5 10 40 2 ""
"132" "Pm" 22 1 "species_3" 0 0 0 3 3 1 30 0.3 0 0 0 0 0 10 0 0 ""
"133" "Lp" 23 0 "species_1" 0 0 0 10 10 25 100 25 0 0 0 0 0 10 0 0 ""
"134" "To" 23 0 "species_2" 0 0 0 1 1 1 10 0.1 0 1 0 1 1 10 10 0.1 ""
"135" "Ra" 23 0 "species_3" 0 0 0 2 0 1 0 0 4 1 0 3 5 10 30 1.5 ""
"136" "Lp" 23 1 "species_1" 0 0 0 3 5 5 50 2.5 0 0 0 0 0 10 0 0 ""
"137" "To" 23 1 "species_2" 0 0 0 2 2 1 20 0.2 0 0 0 0 0 10 0 0 ""
"138" "Ra" 23 1 "species_3" 0 0 0 4 4 1 40 0.4 1 0 1 1 1 10 10 0.1 ""
"139" "Be" 24 0 "species_1" 0 1 0 3 3 5 30 1.5 1 0 1 1 5 10 10 0.5 ""
"140" "Pt" 24 0 "species_2" 0 0 0 1 1 5 10 0.5 0 0 0 0 0 10 0 0 ""
"141" "Pg" 24 0 "species_3" 0 0 0 0 0 0 0 0 0 0 1 1 5 10 10 0.5 ""
"142" "Be" 24 1 "species_1" 0 0 0 0 0 0 0 0 0 3 0 3 10 10 30 3 ""
"143" "Pt" 24 1 "species_2" 0 0 0 0 0 0 0 0 0 2 1 3 10 10 30 3 ""
"144" "Pg" 24 1 "species_3" 0 0 0 1 1 1 10 0.1 0 3 0 3 5 10 30 1.5 ""
"145" "Be" 25 0 "species_1" 0 2 0 0 2 1 20 0.2 0 0 0 0 0 10 0 0 ""
"146" "Ra" 25 0 "species_2" 0 0 0 4 4 5 40 2 0 0 0 0 0 10 0 0 ""
"147" "Pm" 25 0 "species_3" 0 0 0 2 2 1 20 0.2 0 3 0 3 1 10 30 0.3 ""
"148" "Be" 25 1 "species_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"149" "Ra" 25 1 "species_2" 0 0 0 1 1 1 10 0.1 0 0 0 0 0 10 0 0 ""
"150" "Pm" 25 1 "species_3" 0 0 0 2 2 5 20 1 0 0 0 0 0 10 0 0 ""
"151" "Fr" 26 0 "species_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"152" "Hl" 26 0 "species_2" 0 0 0 2 2 5 20 1 0 0 0 0 0 10 0 0 ""
"153" "To" 26 0 "species_3" 0 0 0 4 4 10 40 4 0 0 0 0 0 10 0 0 ""
"154" "Fr" 26 1 "species_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"155" "Hl" 26 1 "species_2" 3 0 0 0 3 5 30 1.5 0 1 0 1 5 10 10 0.5 ""
"156" "To" 26 1 "species_3" 0 0 0 3 3 10 30 3 0 0 0 0 0 10 0 0 ""
"157" "Hl" 27 0 "species_1" 0 0 0 2 2 1 20 0.2 0 1 0 1 1 10 10 0.1 ""
"158" "Sp" 27 0 "species_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"159" "Pg" 27 0 "species_3" 0 0 0 1 1 10 10 1 0 0 0 0 0 10 0 0 ""
"160" "Hl" 27 1 "species_1" 1 0 0 1 2 5 20 1 0 1 0 0 5 10 0 0 ""
"161" "Sp" 27 1 "species_2" 0 0 0 2 2 5 20 1 0 0 0 0 0 10 0 0 ""
"162" "Pg" 27 1 "species_3" 0 0 0 1 1 10 10 1 1 0 0 1 10 10 10 1 ""
"163" "Fr" 28 0 "species_1" 0 0 0 1 1 1 10 0.1 0 0 0 0 0 10 0 0 ""
"164" "Hl" 28 0 "species_2" 0 0 0 3 3 5 30 1.5 0 2 0 2 1 10 20 0.2 ""
"165" "Dc" 28 0 "species_3" 0 0 0 1 1 1 10 0.1 0 0 0 0 0 10 0 0 ""
"166" "Fr" 28 1 "species_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"167" "Hl" 28 1 "species_2" 0 0 0 1 1 1 10 0.1 0 1 0 1 10 10 10 1 ""
"168" "Dc" 28 1 "species_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"169" "Hl" 29 0 "species_1" 0 0 0 5 5 1 50 0.5 0 0 2 2 1 10 20 0.2 ""
"170" "Lp" 29 0 "species_2" 0 0 0 7 7 5 70 3.5 1 2 0 3 10 10 30 3 ""
"171" "Ra" 29 0 "species_3" 0 0 0 3 3 1 30 0.3 4 0 0 3 0 10 30 0 ""
"172" "Hl" 29 1 "species_1" 0 0 0 2 2 1 20 0.2 0 1 0 1 5 10 10 0.5 ""
"173" "Lp" 29 1 "species_2" 0 0 0 4 4 1 40 0.4 0 1 0 1 5 10 10 0.5 ""
"174" "Ra" 29 1 "species_3" 0 0 0 2 2 1 20 0.2 1 0 0 1 1 10 10 0.1 ""
"175" "Fr" 30 0 "species_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"176" "Ra" 30 0 "species_2" 0 0 0 6 6 5 60 3 0 0 0 0 0 10 0 0 ""
"177" "Pm" 30 0 "species_3" 0 0 0 1 1 5 10 0.5 0 0 1 1 108 10 10 10.8 ""
"178" "Fr" 30 1 "species_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"179" "Ra" 30 1 "species_2" 0 0 0 2 2 1 20 0.2 2 0 0 2 1 10 20 0.2 ""
"180" "Pm" 30 1 "species_3" 0 0 0 1 1 5 10 0.5 0 0 0 0 0 10 0 0 ""
"181" "Pt" 31 0 "species_1" 0 0 0 2 2 5 20 1 0 2 0 2 20 10 20 4 ""
"182" "Pg" 31 0 "species_2" 0 0 0 1 1 1 10 0.1 0 0 0 0 0 10 0 0 ""
"183" "Ra" 31 0 "species_3" 0 0 0 3 3 1 30 0.3 1 0 0 1 1 10 10 0.1 ""
"184" "Pt" 31 1 "species_1" 0 0 0 3 3 15 30 4.5 1 0 1 2 10 10 20 2 ""
"185" "Pg" 31 1 "species_2" 0 0 0 0 0 0 0 0 0 2 0 2 55 10 20 11 ""
"186" "Ra" 31 1 "species_3" 0 0 0 3 3 5 30 1.5 1 0 0 1 5 10 10 0.5 ""
"187" "Be" 32 0 "species_1" 0 0 0 1 1 1 10 0.1 0 1 0 1 5 10 10 0.5 ""
"188" "Pt" 32 0 "species_2" 0 0 0 0 0 0 0 0 0 4 1 4 10 10 40 4 ""
"189" "Sp" 32 0 "species_3" 0 0 0 2 2 1 20 0.2 0 0 0 0 0 10 0 0 ""
"190" "Be" 32 1 "species_1" 0 0 0 0 0 0 0 0 0 2 0 2 5 10 20 1 ""
"191" "Pt" 32 1 "species_2" 0 0 0 0 0 0 0 0 2 3 0 3 10 10 30 3 ""
"192" "Sp" 32 1 "species_3" 0 0 0 1 1 10 10 1 1 0 0 1 1 10 10 0.1 ""
"193" "Be" 33 0 "species_1" 0 0 0 0 0 0 0 0 0 4 0 4 5 10 40 2 ""
"194" "Sp" 33 0 "species_2" 0 0 0 2 2 1 20 0.2 2 0 0 2 5 10 20 1 ""
"195" "Ra" 33 0 "species_3" 0 0 0 2 2 1 20 0.2 1 0 0 1 1 10 10 0.1 ""
"196" "Be" 33 1 "species_1" 0 0 0 0 0 0 0 0 1 1 0 2 1 10 20 0.2 ""
"197" "Sp" 33 1 "species_2" 0 0 0 0 0 0 0 0 2 0 0 2 20 10 20 4 ""
"198" "Ra" 33 1 "species_3" 0 0 0 2 2 5 20 1 0 0 1 1 1 10 10 0.1 ""
"199" "Fr" 34 0 "species_1" 0 0 0 7 7 5 70 3.5 0 0 0 0 0 10 0 0 ""
"200" "Pt" 34 0 "species_2" 0 0 0 0 0 0 NA NA 0 0 0 0 0 0 NA NA "no poa"
"201" "Sp" 34 0 "species_3" 0 0 0 6 6 5 60 3 0 0 0 0 0 10 0 0 ""
"202" "Fr" 34 1 "species_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"203" "Pt" 34 1 "species_2" 0 0 0 0 0 0 NA NA 0 0 0 0 0 0 NA NA "no poa"
"204" "Sp" 34 1 "species_3" 0 0 0 2 2 1 20 0.2 0 2 0 2 5 10 20 1 ""
"205" "Hl" 35 0 "species_1" 0 0 0 0 0 0 0 0 0 3 0 3 1 10 30 0.3 ""
"206" "Pt" 35 0 "species_2" 0 0 0 2 2 5 50 2.5 0 0 0 0 0 4 0 0 ""
"207" "Ra" 35 0 "species_3" 0 0 0 7 7 1 70 0.7 1 0 0 1 10 10 10 1 ""
"208" "Hl" 35 1 "species_1" 0 0 0 0 0 0 0 0 0 1 1 2 10 10 20 2 ""
"209" "Pt" 35 1 "species_2" 0 0 0 3 3 10 30 3 0 3 4 5 25 10 50 12.5 ""
"210" "Ra" 35 1 "species_3" 0 0 0 3 3 1 30 0.3 0 0 0 0 0 10 0 0 ""
"211" "Fr" 36 0 "species_1" 0 0 0 5 5 5 50 2.5 0 0 0 0 0 10 0 0 ""
"212" "To" 36 0 "species_2" 0 0 0 1 1 5 10 0.5 1 0 0 1 5 10 10 0.5 ""
"213" "Dc" 36 0 "species_3" 0 0 0 1 1 1 14.28571429 0.142857143 0 0 0 0 0 7 0 0 ""
"214" "Fr" 36 1 "species_1" 0 0 0 4 4 5 40 2 0 2 0 2 10 10 20 2 ""
"215" "To" 36 1 "species_2" 0 0 0 0 0 0 0 0 0 4 1 0 1 10 0 0 ""
"216" "Dc" 36 1 "species_3" 0 0 0 3 3 10 30 3 0 0 0 0 0 10 0 0 ""
"217" "Lp" 37 0 "species_1" 0 0 0 9 9 50 90 45 0 0 0 0 0 10 0 0 ""
"218" "Cb" 37 0 "species_2" 0 4 0 2 5 10 50 5 0 0 0 0 0 10 0 0 ""
"219" "Pg" 37 0 "species_3" 0 0 0 1 1 5 10 0.5 0 0 0 0 0 10 0 0 ""
"220" "Lp" 37 1 "species_1" 0 0 0 4 4 1 40 0.4 0 2 0 2 1 10 20 0.2 ""
"221" "Cb" 37 1 "species_2" 0 0 0 1 1 5 10 0.5 0 2 0 2 1 10 20 0.2 ""
"222" "Pg" 37 1 "species_3" 0 0 0 3 3 5 30 1.5 0 0 0 0 0 10 0 0 ""
"223" "Hl" 38 0 "species_1" 0 0 0 3 3 1 30 0.3 0 0 0 0 0 10 0 0 ""
"224" "Pg" 38 0 "species_2" 0 0 0 2 2 1 20 0.2 0 0 0 0 0 10 0 0 ""
"225" "Pm" 38 0 "species_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"226" "Hl" 38 1 "species_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"227" "Pg" 38 1 "species_2" 0 0 0 0 0 0 0 0 0 1 0 1 1 10 10 0.1 ""
"228" "Pm" 38 1 "species_3" 0 0 0 1 1 5 10 0.5 3 1 0 3 5 10 30 1.5 ""
"229" "Be" 39 0 "species_1" 0 0 0 1 1 1 10 0.1 0 3 0 3 10 10 30 3 ""
"230" "Fr" 39 0 "species_2" 0 0 0 2 2 1 20 0.2 0 0 0 0 0 10 0 0 ""
"231" "To" 39 0 "species_3" 0 2 0 2 4 10 40 4 0 2 0 2 1 10 20 0.2 ""
"232" "Be" 39 1 "species_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"233" "Fr" 39 1 "species_2" 0 0 0 1 1 5 10 0.5 0 0 0 0 0 10 0 0 ""
"234" "To" 39 1 "species_3" 0 1 0 3 4 1 40 0.4 2 0 0 2 5 10 20 1 ""
"235" "Cb" 40 0 "species_1" 0 7 0 2 8 50 80 40 1 0 0 1 5 10 10 0.5 ""
"236" "Ra" 40 0 "species_2" 0 0 0 3 3 1 30 0.3 0 0 0 0 0 10 0 0 ""
"237" "Pm" 40 0 "species_3" 0 0 0 0 0 0 NA NA 0 0 0 0 0 0 NA NA "no plantago"
"238" "Cb" 40 1 "species_1" 0 3 0 0 3 40 30 12 0 0 0 0 0 10 0 0 ""
"239" "Ra" 40 1 "species_2" 0 0 0 1 1 1 10 0.1 0 0 0 0 0 10 0 0 ""
"240" "Pm" 40 1 "species_3" 0 0 0 0 0 0 NA NA 0 0 0 0 0 0 NA NA "no plantago"
"241" "Fr" 41 0 "species_1" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 ""
"242" "Pt" 41 0 "species_2" 0 0 0 5 5 40 50 20 0 0 0 0 0 10 0 0 ""
"243" "Cb" 41 0 "species_3" 0 3 0 2 5 50 50 25 0 0 0 0 0 10 0 0 ""
"244" "Fr" 41 1 "species_1" 0 0 0 1 1 1 10 0.1 0 0 0 0 0 10 0 0 ""
"245" "Pt" 41 1 "species_2" 0 0 0 0 0 0 NA NA 0 0 0 0 0 0 NA NA "no poa"
"246" "Cb" 41 1 "species_3" 0 6 0 0 6 50 60 30 0 1 0 1 35 10 10 3.5 ""
"247" "Be" 42 0 "species_1" 0 0 0 3 3 1 30 0.3 0 0 0 0 0 10 0 0 ""
