"Abs","enz","sample","nitrogen","plot","p_nytro_C","cali_group","dry_weight","comments","dry_weight_ratio","date_time"
"35",1.7982,"beta_glu","cali",NA,"0",500,"4",NA,NA,NA,NA
"36",2.3325,"beta_glu","cali",NA,"0",650,"4",NA,NA,NA,NA
"37",0.6232,"beta_glu","a","0","1",NA,"1",4.16,"",0.832,NA
"38",0.6115,"beta_glu","a","1","1",NA,"1",4.29,"",0.858,NA
"39",0.3698,"beta_glu","b","0","1",NA,"1",4.16,"",0.832,NA
"40",0.3964,"beta_glu","b","1","1",NA,"1",4.29,"",0.858,NA
"41",0.7257,"beta_glu","a","0","2",NA,"1",4.06,"",0.812,NA
"42",0.6695,"beta_glu","a","1","2",NA,"1",4.05,"",0.81,NA
"43",0.499,"beta_glu","b","0","2",NA,"1",4.06,"",0.812,NA
"44",0.5393,"beta_glu","b","1","2",NA,"1",4.05,"",0.81,NA
"45",0.6154,"beta_glu","a","0","3",NA,"1",4.39,"",0.878,NA
"46",0.4727,"beta_glu","a","1","3",NA,"1",4.39,"",0.878,NA
"47",0.4478,"beta_glu","b","0","3",NA,"1",4.39,"",0.878,NA
"48",0.4561,"beta_glu","b","1","3",NA,"1",4.39,"",0.878,NA
"49",1.0749,"beta_glu","a","0","4",NA,"1",4,"",0.8,NA
"50",0.5586,"beta_glu","a","1","4",NA,"1",4.17,"",0.834,NA
"51",0.7064,"beta_glu","b","0","4",NA,"1",4,"",0.8,NA
"52",0.5002,"beta_glu","b","1","4",NA,"1",4.17,"",0.834,NA
"53",0.5018,"beta_glu","a","0","5",NA,"1",4.19,"",0.838,NA
"54",0.4996,"beta_glu","a","1","5",NA,"1",4.31,"",0.862,NA
"55",0.4426,"beta_glu","b","0","5",NA,"1",4.19,"",0.838,NA
"56",0.4551,"beta_glu","b","1","5",NA,"1",4.31,"",0.862,NA
"57",0.4174,"beta_glu","a","0","6",NA,"2",3.72,"",0.744,NA
"58",0.4631,"beta_glu","a","1","6",NA,"2",4.24,"",0.848,NA
"59",0.1547,"beta_glu","b","0","6",NA,"2",3.72,"",0.744,NA
"60",0.1309,"beta_glu","b","1","6",NA,"2",4.24,"",0.848,NA
"61",0.4518,"beta_glu","a","0","7",NA,"2",3.94,"",0.788,NA
"62",0.4449,"beta_glu","a","1","7",NA,"2",4.16,"",0.832,NA
"63",0.1317,"beta_glu","b","0","7",NA,"2",3.94,"",0.788,NA
"64",0.14,"beta_glu","b","1","7",NA,"2",4.16,"",0.832,NA
"65",0.4459,"beta_glu","a","0","8",NA,"2",4.07,"",0.814,NA
"66",0.4863,"beta_glu","a","1","8",NA,"2",4.15,"",0.83,NA
"67",0.1382,"beta_glu","b","0","8",NA,"2",4.07,"",0.814,NA
"68",0.1344,"beta_glu","b","1","8",NA,"2",4.15,"",0.83,NA
"69",0.3267,"beta_glu","a","0","9",NA,"2",4.32,"",0.864,NA
"70",0.3682,"beta_glu","a","1","9",NA,"2",4.52,"",0.904,NA
"71",0.1194,"beta_glu","b","0","9",NA,"2",4.32,"",0.864,NA
"72",0.1204,"beta_glu","b","1","9",NA,"2",4.52,"",0.904,NA
"73",0.4299,"beta_glu","a","0","10",NA,"2",4.17,"",0.834,NA
"74",0.473,"beta_glu","a","1","10",NA,"2",4.35,"",0.87,NA
"75",0.1459,"beta_glu","b","0","10",NA,"2",4.17,"",0.834,NA
"76",0.1345,"beta_glu","b","1","10",NA,"2",4.35,"",0.87,NA
"77",0.5032,"beta_glu","a","0","11",NA,"2",4.18,"",0.836,NA
"78",0.4052,"beta_glu","a","1","11",NA,"2",3.71,"",0.742,NA
"79",0.1417,"beta_glu","b","0","11",NA,"2",4.18,"",0.836,NA
"80",0.1432,"beta_glu","b","1","11",NA,"2",3.71,"",0.742,NA
"81",0.416,"beta_glu","a","0","12",NA,"2",4.25,"",0.85,NA
"82",0.4088,"beta_glu","a","1","12",NA,"2",4.11,"",0.822,NA
"83",0.1255,"beta_glu","b","0","12",NA,"2",4.25,"",0.85,NA
"84",0.1382,"beta_glu","b","1","12",NA,"2",4.11,"",0.822,NA
"85",0.493,"beta_glu","a","0","13",NA,"2",4.18,"",0.836,NA
"86",0.4932,"beta_glu","a","1","13",NA,"2",4.32,"",0.864,NA
"87",0.1406,"beta_glu","b","0","13",NA,"2",4.18,"",0.836,NA
"88",0.1297,"beta_glu","b","1","13",NA,"2",4.32,"",0.864,NA
"89",0.3831,"beta_glu","a","0","14",NA,"2",4.06,"",0.812,NA
"90",0.4159,"beta_glu","a","1","14",NA,"2",4.14,"",0.828,NA
"91",0.1233,"beta_glu","b","0","14",NA,"2",4.06,"",0.812,NA
"92",0.1345,"beta_glu","b","1","14",NA,"2",4.14,"",0.828,NA
"93",0.4343,"beta_glu","a","0","15",NA,"2",4.14,"",0.828,NA
"94",0.6385,"beta_glu","a","1","15",NA,"2",4.33,"",0.866,NA
"95",0.1321,"beta_glu","b","0","15",NA,"2",4.14,"",0.828,NA
"96",0.1336,"beta_glu","b","1","15",NA,"2",4.33,"",0.866,NA
"97",0.4176,"beta_glu","a","0","16",NA,"2",4.04,"",0.808,NA
"98",0.444,"beta_glu","a","1","16",NA,"2",4.15,"",0.83,NA
"99",0.1402,"beta_glu","b","0","16",NA,"2",4.04,"",0.808,NA
"100",0.1365,"beta_glu","b","1","16",NA,"2",4.15,"",0.83,NA
"101",0.3116,"beta_glu","a","0","17",NA,"2",4.36,"",0.872,NA
"102",0.3012,"beta_glu","a","1","17",NA,"2",4.39,"",0.878,NA
"103",0.1184,"beta_glu","b","0","17",NA,"2",4.36,"",0.872,NA
"104",0.1248,"beta_glu","b","1","17",NA,"2",4.39,"",0.878,NA
"105",0.4424,"beta_glu","a","0","18",NA,"2",4.04,"",0.808,NA
"106",0.4203,"beta_glu","a","1","18",NA,"2",4.27,"",0.854,NA
"107",0.1349,"beta_glu","b","0","18",NA,"2",4.04,"",0.808,NA
"108",0.1303,"beta_glu","b","1","18",NA,"2",4.27,"",0.854,NA
"109",0.4648,"beta_glu","a","0","19",NA,"2",4.15,"",0.83,NA
"110",0.5298,"beta_glu","a","1","19",NA,"2",4.29,"",0.858,NA
"111",0.1398,"beta_glu","b","0","19",NA,"2",4.15,"",0.83,NA
"112",0.1534,"beta_glu","b","1","19",NA,"2",4.29,"",0.858,NA
"113",0.4564,"beta_glu","a","0","20",NA,"3",4.16,"",0.832,NA
"114",0.503,"beta_glu","a","1","20",NA,"3",4.06,"",0.812,NA
"115",0.1364,"beta_glu","b","0","20",NA,"3",4.16,"",0.832,NA
"116",0.1349,"beta_glu","b","1","20",NA,"3",4.06,"",0.812,NA
"117",0.5257,"beta_glu","a","0","21",NA,"3",4.03,"",0.806,NA
"118",0.5776,"beta_glu","a","1","21",NA,"3",4.16,"",0.832,NA
"119",0.1419,"beta_glu","b","0","21",NA,"3",4.03,"",0.806,NA
"120",0.1444,"beta_glu","b","1","21",NA,"3",4.16,"",0.832,NA
"121",0.5357,"beta_glu","a","0","22",NA,"3",4.21,"",0.842,NA
"122",0.4716,"beta_glu","a","1","22",NA,"3",3.73,"",0.746,NA
"123",0.1419,"beta_glu","b","0","22",NA,"3",4.21,"",0.842,NA
"124",0.13,"beta_glu","b","1","22",NA,"3",3.73,"",0.746,NA
"125",0.5408,"beta_glu","a","0","23",NA,"3",3.9,"",0.78,NA
"126",0.3994,"beta_glu","a","1","23",NA,"3",3.62,"",0.724,NA
"127",0.1467,"beta_glu","b","0","23",NA,"3",3.9,"",0.78,NA
"128",0.1197,"beta_glu","b","1","23",NA,"3",3.62,"",0.724,NA
"129",0.4927,"beta_glu","a","0","24",NA,"3",4.17,"",0.834,NA
"130",0.5438,"beta_glu","a","1","24",NA,"3",4.34,"",0.868,NA
"131",0.1425,"beta_glu","b","0","24",NA,"3",4.17,"",0.834,NA
"132",0.1471,"beta_glu","b","1","24",NA,"3",4.34,"",0.868,NA
"133",0.3485,"beta_glu","a","0","25",NA,"3",4.36,"",0.872,NA
"134",0.3257,"beta_glu","a","1","25",NA,"3",4.32,"",0.864,NA
"135",0.1142,"beta_glu","b","0","25",NA,"3",4.36,"",0.872,NA
"136",0.1153,"beta_glu","b","1","25",NA,"3",4.32,"",0.864,NA
"137",0.4833,"beta_glu","a","0","26",NA,"3",4.15,"",0.83,NA
"138",0.5263,"beta_glu","a","1","26",NA,"3",4.35,"",0.87,NA
"139",0.144,"beta_glu","b","0","26",NA,"3",4.15,"",0.83,NA
"140",0.1389,"beta_glu","b","1","26",NA,"3",4.35,"",0.87,NA
"141",0.4977,"beta_glu","a","0","27",NA,"3",4.12,"",0.824,NA
"142",0.401,"beta_glu","a","1","27",NA,"3",3.71,"",0.742,NA
"143",0.1373,"beta_glu","b","0","27",NA,"3",4.12,"",0.824,NA
"144",0.1293,"beta_glu","b","1","27",NA,"3",3.71,"",0.742,NA
"145",0.5602,"beta_glu","a","0","28",NA,"3",4.24,"",0.848,NA
"146",0.4108,"beta_glu","a","1","28",NA,"3",4.22,"",0.844,NA
"147",0.1413,"beta_glu","b","0","28",NA,"3",4.24,"",0.848,NA
"148",0.1281,"beta_glu","b","1","28",NA,"3",4.22,"",0.844,NA
"149",0.4781,"beta_glu","a","0","29",NA,"3",4.37,"",0.874,NA
"150",0.4839,"beta_glu","a","1","29",NA,"3",4.19,"",0.838,NA
"151",0.134,"beta_glu","b","0","29",NA,"3",4.37,"",0.874,NA
"152",0.1421,"beta_glu","b","1","29",NA,"3",4.19,"",0.838,NA
"153",0.473,"beta_glu","a","0","30",NA,"3",4.19,"",0.838,NA
"154",0.4805,"beta_glu","a","1","30",NA,"3",4.38,"",0.876,NA
"155",0.1379,"beta_glu","b","0","30",NA,"3",4.19,"",0.838,NA
"156",0.1337,"beta_glu","b","1","30",NA,"3",4.38,"",0.876,NA
"157",0.3473,"beta_glu","a","1","31",NA,"3",3.57,"",0.714,NA
"158",0.3849,"beta_glu","a","0","31",NA,"3",4.08,"",0.816,NA
"159",0.1234,"beta_glu","b","1","31",NA,"3",3.57,"",0.714,NA
"160",0.1187,"beta_glu","b","0","31",NA,"3",4.08,"",0.816,NA
"161",0.3262,"beta_glu","a","1","32",NA,"3",4.37,"",0.874,NA
"162",0.3644,"beta_glu","a","0","32",NA,"3",4.16,"",0.832,NA
"163",0.1242,"beta_glu","b","1","32",NA,"3",4.37,"",0.874,NA
"164",0.121,"beta_glu","b","0","32",NA,"3",4.16,"",0.832,NA
"165",0.2681,"beta_glu","a","1","33",NA,"3",4.43,"",0.886,NA
"166",0.2768,"beta_glu","a","0","33",NA,"3",4.25,"",0.85,NA
"167",0.1208,"beta_glu","b","1","33",NA,"3",4.43,"",0.886,NA
"168",0.1174,"beta_glu","b","0","33",NA,"3",4.25,"",0.85,NA
"169",0.3533,"beta_glu","a","1","34",NA,"3",3.87,"",0.774,NA
"170",0.3638,"beta_glu","a","0","34",NA,"3",4.12,"",0.824,NA
"171",0.1224,"beta_glu","b","1","34",NA,"3",3.87,"",0.774,NA
"172",0.1201,"beta_glu","b","0","34",NA,"3",4.12,"",0.824,NA
"173",0.3611,"beta_glu","a","1","35",NA,"3",4.22,"",0.844,NA
"174",0.3242,"beta_glu","a","0","35",NA,"3",4.1,"",0.82,NA
"175",0.1259,"beta_glu","b","1","35",NA,"3",4.22,"",0.844,NA
"176",0.1366,"beta_glu","b","0","35",NA,"3",4.1,"",0.82,NA
"177",0.3742,"beta_glu","a","0","36",NA,"3",4.2,"",0.84,NA
"178",0.3585,"beta_glu","a","1","36",NA,"3",4.38,"",0.876,NA
"179",0.1258,"beta_glu","b","1","36",NA,"3",4.38,"",0.876,NA
"180",0.1288,"beta_glu","b","0","36",NA,"3",4.2,"",0.84,NA
"181",0.3414,"beta_glu","a","0","37",NA,"3",4.15,"",0.83,NA
"182",0.3564,"beta_glu","a","1","37",NA,"3",4.38,"",0.876,NA
"183",0.1158,"beta_glu","b","1","37",NA,"3",4.38,"",0.876,NA
"184",0.1202,"beta_glu","b","0","37",NA,"3",4.15,"",0.83,NA
"185",0.3613,"beta_glu","a","0","38",NA,"3",4.11,"",0.822,NA
"186",0.3505,"beta_glu","a","1","38",NA,"3",4.37,"",0.874,NA
"187",0.1279,"beta_glu","b","1","38",NA,"3",4.37,"",0.874,NA
"188",0.106,"beta_glu","b","0","38",NA,"3",4.11,"",0.822,NA
"189",0.3627,"beta_glu","a","0","39",NA,"3",4.19,"",0.838,NA
"190",0.3245,"beta_glu","a","1","39",NA,"3",4.27,"",0.854,NA
"191",0.1285,"beta_glu","b","1","39",NA,"3",4.27,"",0.854,NA
"192",0.13,"beta_glu","b","0","39",NA,"3",4.19,"",0.838,NA
"193",0.4001,"beta_glu","a","0","40",NA,"3",4.14,"",0.828,NA
"194",0.3472,"beta_glu","a","1","40",NA,"3",4.34,"",0.868,NA
"195",0.1133,"beta_glu","b","1","40",NA,"3",4.34,"",0.868,NA
"196",0.1138,"beta_glu","b","0","40",NA,"3",4.14,"",0.828,NA
"197",0.2964,"beta_glu","a","0","41",NA,"4",4.38,"",0.876,NA
"198",0.4046,"beta_glu","a","1","41",NA,"4",4.57,"",0.914,NA
"199",0.1147,"beta_glu","b","0","41",NA,"4",4.38,"",0.876,NA
"200",0.1284,"beta_glu","b","1","41",NA,"4",4.57,"",0.914,NA
"201",0.4415,"beta_glu","a","0","42",NA,"4",4.16,"",0.832,NA
"202",0.5205,"beta_glu","a","1","42",NA,"4",4.43,"",0.886,NA
"203",0.1456,"beta_glu","b","0","42",NA,"4",4.16,"",0.832,NA
"204",0.1346,"beta_glu","b","1","42",NA,"4",4.43,"",0.886,NA
"205",0.4524,"beta_glu","a","0","43",NA,"4",4.16,"",0.832,NA
"206",0.4154,"beta_glu","a","1","43",NA,"4",4.36,"",0.872,NA
"207",0.1354,"beta_glu","b","0","43",NA,"4",4.16,"",0.832,NA
"208",0.1329,"beta_glu","b","1","43",NA,"4",4.36,"",0.872,NA
"209",0.4897,"beta_glu","a","0","44",NA,"4",4.02,"",0.804,NA
"210",0.4899,"beta_glu","a","1","44",NA,"4",4.18,"",0.836,NA
"211",0.1407,"beta_glu","b","0","44",NA,"4",4.02,"",0.804,NA
"212",0.1475,"beta_glu","b","1","44",NA,"4",4.18,"",0.836,NA
"213",0.4458,"beta_glu","a","0","45",NA,"4",4.13,"",0.826,NA
"214",0.4974,"beta_glu","a","1","45",NA,"4",4.33,"",0.866,NA
"215",0.1432,"beta_glu","b","0","45",NA,"4",4.13,"",0.826,NA
"216",0.1481,"beta_glu","b","1","45",NA,"4",4.33,"",0.866,NA
"217",0.5113,"beta_glu","a","0","46",NA,"4",4.14,"",0.828,NA
"218",0.4736,"beta_glu","a","1","46",NA,"4",4.34,"",0.868,NA
"219",0.141,"beta_glu","b","0","46",NA,"4",4.14,"",0.828,NA
"220",0.1476,"beta_glu","b","1","46",NA,"4",4.34,"",0.868,NA
"221",0.4592,"beta_glu","a","0","47",NA,"4",3.98,"",0.796,NA
"222",0.4895,"beta_glu","a","1","47",NA,"4",4.23,"",0.846,NA
"223",0.1606,"beta_glu","b","0","47",NA,"4",3.98,"",0.796,NA
"224",0.1265,"beta_glu","b","1","47",NA,"4",4.23,"",0.846,NA
"225",0.4404,"beta_glu","a","0","48",NA,"4",4.05,"",0.81,NA
"226",0.4433,"beta_glu","a","1","48",NA,"4",4.38,"",0.876,NA
"227",0.1705,"beta_glu","b","0","48",NA,"4",4.05,"",0.81,NA
"228",0.1454,"beta_glu","b","1","48",NA,"4",4.38,"",0.876,NA
"229",0.2856,"beta_glu","a","0","49",NA,"4",4.12,"",0.824,NA
"230",0.2949,"beta_glu","a","1","49",NA,"4",4.38,"",0.876,NA
"231",0.1143,"beta_glu","b","0","49",NA,"4",4.12,"",0.824,NA
"232",0.1199,"beta_glu","b","1","49",NA,"4",4.38,"",0.876,NA
"233",0.3223,"beta_glu","a","0","50",NA,"4",4.2,"",0.84,NA
"234",0.3277,"beta_glu","a","1","50",NA,"4",4.31,"",0.862,NA
"235",0.1213,"beta_glu","b","0","50",NA,"4",4.2,"",0.84,NA
"236",0.1196,"beta_glu","b","1","50",NA,"4",4.31,"",0.862,NA
"237",0.328,"beta_glu","a","0","51",NA,"4",4.27,"frost after beta",0.854,NA
"238",0.3057,"beta_glu","a","1","51",NA,"4",4.51,"",0.902,NA
"239",0.1198,"beta_glu","b","0","51",NA,"4",4.27,"frost after beta",0.854,NA
"240",0.1178,"beta_glu","b","1","51",NA,"4",4.51,"",0.902,NA
"241",0.3048,"beta_glu","a","0","52",NA,"4",3.97,"frost after beta",0.794,NA
"242",0.311,"beta_glu","a","1","52",NA,"4",4.48,"",0.896,NA
"243",0.1207,"beta_glu","b","0","52",NA,"4",3.97,"frost after beta",0.794,NA
"244",0.1228,"beta_glu","b","1","52",NA,"4",4.48,"",0.896,NA
"245",0.2506,"beta_glu","a","0","53",NA,"4",4.26,"",0.852,NA
"246",0.2922,"beta_glu","a","1","53",NA,"4",4.27,"",0.854,NA
"247",0.1146,"beta_glu","b","0","53",NA,"4",4.26,"",0.852,NA
"248",0.1207,"beta_glu","b","1","53",NA,"4",4.27,"",0.854,NA
"249",0.2747,"beta_glu","a","0","54",NA,"4",4.3,"",0.86,NA
"250",0.3038,"beta_glu","a","1","54",NA,"4",4.63,"",0.926,NA
"251",0.113,"beta_glu","b","0","54",NA,"4",4.3,"",0.86,NA
"252",0.1032,"beta_glu","b","1","54",NA,"4",4.63,"",0.926,NA
"253",0.2902,"beta_glu","a","0","55",NA,"4",4.2,"",0.84,NA
"254",0.2939,"beta_glu","a","1","55",NA,"4",4.58,"",0.916,NA
"255",0.1154,"beta_glu","b","0","55",NA,"4",4.2,"",0.84,NA
"256",0.1185,"beta_glu","b","1","55",NA,"4",4.58,"",0.916,NA
"257",0.3011,"beta_glu","a","0","56",NA,"4",4.18,"",0.836,NA
"258",0.3108,"beta_glu","a","1","56",NA,"4",4.43,"",0.886,NA
"259",0.1165,"beta_glu","b","0","56",NA,"4",4.18,"",0.836,NA
"260",0.1183,"beta_glu","b","1","56",NA,"4",4.43,"",0.886,NA
"261",0.2963,"beta_glu","a","0","57",NA,"4",4.18,"",0.836,NA
"262",0.2931,"beta_glu","a","1","57",NA,"4",4.36,"",0.872,NA
"263",0.1117,"beta_glu","b","0","57",NA,"4",4.18,"",0.836,NA
"264",0.1204,"beta_glu","b","1","57",NA,"4",4.36,"",0.872,NA
"265",0.2376,"beta_glu","a","0","58",NA,"4",3.73,"wet",0.746,NA
"266",0.3008,"beta_glu","a","1","58",NA,"4",4.37,"",0.874,NA
"267",0.1024,"beta_glu","b","0","58",NA,"4",3.73,"wet",0.746,NA
"268",0.1116,"beta_glu","b","1","58",NA,"4",4.37,"",0.874,NA
"269",0.3232,"beta_glu","a","0","59",NA,"4",4.24,"",0.848,NA
"270",0.3153,"beta_glu","a","1","59",NA,"4",4.3,"",0.86,NA
"271",0.1173,"beta_glu","b","0","59",NA,"4",4.24,"",0.848,NA
"272",0.1144,"beta_glu","b","1","59",NA,"4",4.3,"",0.86,NA
"273",0.2822,"beta_glu","a","0","60",NA,"4",4.25,"",0.85,NA
"274",0.2876,"beta_glu","a","1","60",NA,"4",4.52,"",0.904,NA
"275",0.1045,"beta_glu","b","0","60",NA,"4",4.25,"",0.85,NA
"276",0.1087,"beta_glu","b","1","60",NA,"4",4.52,"",0.904,NA
"277",0.0494,"phospha","cali",NA,"0",0,"5",NA,NA,NA,NA
"278",0.0966,"phospha","cali",NA,"0",10,"5",NA,NA,NA,NA
"279",0.1358,"phospha","cali",NA,"0",25,"5",NA,NA,NA,NA
"280",0.2264,"phospha","cali",NA,"0",50,"5",NA,NA,NA,NA
"281",0.392,"phospha","cali",NA,"0",100,"5",NA,NA,NA,NA
"282",0.7194,"phospha","cali",NA,"0",200,"5",NA,NA,NA,NA
"283",1.0475,"phospha","cali",NA,"0",300,"5",NA,NA,NA,NA
"284",1.7239,"phospha","cali",NA,"0",500,"5",NA,NA,NA,NA
"285",2.2734,"phospha","cali",NA,"0",650,"5",NA,NA,NA,NA
"286",0.0528,"phospha","cali",NA,"0",0,"6",NA,NA,NA,NA
"287",0.0977,"phospha","cali",NA,"0",10,"6",NA,NA,NA,NA
"288",0.1352,"phospha","cali",NA,"0",25,"6",NA,NA,NA,NA
"289",0.2398,"phospha","cali",NA,"0",50,"6",NA,NA,NA,NA
"290",0.3809,"phospha","cali",NA,"0",100,"6",NA,NA,NA,NA
"291",0.6973,"phospha","cali",NA,"0",200,"6",NA,NA,NA,NA
"292",1.0425,"phospha","cali",NA,"0",300,"6",NA,NA,NA,NA
"293",1.7023,"phospha","cali",NA,"0",500,"6",NA,NA,NA,NA
"294",2.3287,"phospha","cali",NA,"0",650,"6",NA,NA,NA,NA
"295",0.866,"phospha","a","0","1",NA,"5",4.16,"",0.832,"08.06/10.00"
"296",0.9676,"phospha","a","1","1",NA,"5",4.29,"",0.858,"08.06/10.00"
"297",0.2012,"phospha","b","0","1",NA,"5",4.16,"",0.832,"08.06/10.00"
"298",0.2057,"phospha","b","1","1",NA,"5",4.29,"",0.858,"08.06/10.00"
"299",0.9951,"phospha","a","0","2",NA,"5",4.06,"",0.812,"08.06/10.00"
"300",1.0719,"phospha","a","1","2",NA,"5",4.05,"",0.81,"08.06/10.00"
"301",0.216,"phospha","b","0","2",NA,"5",4.06,"",0.812,"08.06/10.00"
"302",0.237,"phospha","b","1","2",NA,"5",4.05,"",0.81,"08.06/10.00"
"303",1.0214,"phospha","a","0","3",NA,"5",4.39,"",0.878,"08.06/10.00"
"304",0.9591,"phospha","a","1","3",NA,"5",4.39,"",0.878,"08.06/10.00"
"305",0.2598,"phospha","b","0","3",NA,"5",4.39,"",0.878,"08.06/10.00"
"306",0.1917,"phospha","b","1","3",NA,"5",4.39,"",0.878,"08.06/10.00"
"307",0.9471,"phospha","a","0","4",NA,"5",4,"",0.8,"08.06/10.00"
"308",1.0479,"phospha","a","1","4",NA,"5",4.17,"",0.834,"08.06/10.00"
"309",0.2179,"phospha","b","0","4",NA,"5",4,"",0.8,"08.06/10.00"
"310",0.1819,"phospha","b","1","4",NA,"5",4.17,"",0.834,"08.06/10.00"
"311",0.9441,"phospha","a","0","5",NA,"5",4.19,"",0.838,"08.07/9.00"
"312",1.0459,"phospha","a","1","5",NA,"5",4.31,"",0.862,"08.07/9.00"
"313",0.1876,"phospha","b","0","5",NA,"5",4.19,"",0.838,"08.07/9.00"
"314",0.2046,"phospha","b","1","5",NA,"5",4.31,"",0.862,"08.07/9.00"
"315",0.9481,"phospha","a","0","6",NA,"5",3.72,"",0.744,"08.07/9.00"
"316",1.1522,"phospha","a","1","6",NA,"5",4.24,"",0.848,"08.07/9.00"
"317",0.1835,"phospha","b","0","6",NA,"5",3.72,"",0.744,"08.07/9.00"
"318",0.1832,"phospha","b","1","6",NA,"5",4.24,"",0.848,"08.07/9.00"
"319",1.1729,"phospha","a","0","7",NA,"5",3.94,"",0.788,"08.07/9.00"
"320",1.1062,"phospha","a","1","7",NA,"5",4.16,"",0.832,"08.07/9.00"
"321",0.1725,"phospha","b","0","7",NA,"5",3.94,"",0.788,"08.07/9.00"
"322",0.197,"phospha","b","1","7",NA,"5",4.16,"",0.832,"08.07/9.00"
"323",1.1531,"phospha","a","0","8",NA,"5",4.07,"",0.814,"08.07/9.00"
"324",1.1706,"phospha","a","1","8",NA,"5",4.15,"",0.83,"08.07/9.00"
"325",0.2344,"phospha","b","0","8",NA,"5",4.07,"",0.814,"08.07/9.00"
"326",0.1843,"phospha","b","1","8",NA,"5",4.15,"",0.83,"08.07/9.00"
"327",0.8649,"phospha","a","0","9",NA,"5",4.32,"",0.864,"08.06/11.00"
"328",0.916,"phospha","a","1","9",NA,"5",4.52,"",0.904,"08.06/11.00"
"329",0.1482,"phospha","b","0","9",NA,"5",4.32,"",0.864,"08.06/11.00"
"330",0.1524,"phospha","b","1","9",NA,"5",4.52,"",0.904,"08.06/11.00"
"331",0.939,"phospha","a","0","10",NA,"5",4.17,"",0.834,"08.06/11.00"
"332",1.1775,"phospha","a","1","10",NA,"5",4.35,"",0.87,"08.06/11.00"
"333",0.16,"phospha","b","0","10",NA,"5",4.17,"",0.834,"08.06/11.00"
"334",0.1645,"phospha","b","1","10",NA,"5",4.35,"",0.87,"08.06/11.00"
"335",0.8243,"phospha","a","0","11",NA,"5",4.18,"",0.836,"08.06/11.00"
"336",1.0391,"phospha","a","1","11",NA,"5",3.71,"",0.742,"08.06/11.00"
"337",0.1448,"phospha","b","0","11",NA,"5",4.18,"",0.836,"08.06/11.00"
"338",0.1501,"phospha","b","1","11",NA,"5",3.71,"",0.742,"08.06/11.00"
"339",1.0551,"phospha","a","0","12",NA,"5",4.25,"",0.85,"08.06/11.00"
"340",0.975,"phospha","a","1","12",NA,"5",4.11,"",0.822,"08.06/11.00"
"341",0.1423,"phospha","b","0","12",NA,"5",4.25,"",0.85,"08.06/11.00"
